id	commune_name	rate
1	Beaufort	0.0398
2	Bech	0.0369
3	Beckerich	0.0445
4	Berdorf	0.0244
5	Bertrange	0.0382
6	Bettembourg	0.0394
7	Bettendorf	0.0483
8	Betzdorf	0.0318
9	Bissen	0.0373
10	Biwer	0.0477
11	Boevange-sur-Attert	0.0534
12	Boulaide	0.0594
13	Bourscheid	0.0590
14	Bous	0.0364
15	Clervaux	0.0651
16	Colmar-Berg	0.0495
17	Consdorf	0.0527
18	Contern	0.0306
19	Dalheim	0.0420
20	Diekirch	0.0331
21	Differdange	0.0472
22	Dippach	0.0464
23	Dudelange	0.0419
24	Echternach	0.0275
25	Ell	0.0397
26	Erpeldange	0.0325
27	Esch-sur-Alzette	0.0434
28	Esch-sur-S_re	0.0667
29	Eschweiler	0.0800
30	Ettelbruck	0.0492
31	Feulen	0.0516
32	Fischbach	0.0347
33	Flaxweiler	0.0400
34	Frisange	0.0457
35	Garnich	0.0439
36	Goesdorf	0.0505
37	Grevenmacher	0.0346
38	Grosbous	0.0467
39	Heffingen	0.0514
40	Hesperange	0.0331
41	Hobscheid	0.0470
42	Junglinster	0.0458
43	Kayl	0.0507
44	Kehlen	0.0412
45	Kiischpelt	0.1142
46	Koerich	0.0345
47	Kopstal	0.0293
48	K_erjeng	0.0433
49	Lac de la Haute-S_re	0.0663
50	Larochette	0.0430
51	Lenningen	0.0437
52	Leudelange	0.0363
53	Lintgen	0.0517
54	Lorentzweiler	0.0440
55	Luxembourg	0.0351
56	Mamer	0.0318
57	Manternach	0.0246
58	Mersch	0.0426
59	Mertert	0.0390
60	Mertzig	0.0698
61	Mompach	0.0337
62	Mondercange	0.0401
63	Mondorf-les-Bains	0.0303
64	Niederanven	0.0315
65	Nommern	0.0397
66	Parc Hosingen	0.0673
67	Pr_izerdaul	0.0537
68	Putscheid	0.0577
69	P_tange	0.0515
70	Rambrouch	0.0647
71	Reckange-sur-Mess	0.0379
72	Redange/Attert	0.0492
73	Reisdorf	0.0565
74	Remich	0.0371
75	Roeser	0.0310
76	Rosport	0.0413
77	Rumelange	0.0518
78	Saeul	0.0510
79	Sandweiler	0.0379
80	Sanem	0.0498
81	Schengen	0.0290
82	Schieren	0.0535
83	Schifflange	0.0506
84	Schuttrange	0.0339
85	Septfontaines	0.0367
86	Stadtbredimus	0.0275
87	Steinfort	0.0470
88	Steinsel	0.0359
89	Strassen	0.0321
90	Tandel	0.0300
91	Troisvierges	0.0483
92	Tuntange	0.0322
93	Useldange	0.0513
94	Vall_e de l'Ernz	0.0405
95	Vianden	0.0450
96	Vichten	0.0504
97	Wahl	0.0418
98	Waldbillig	0.0457
99	Waldbredimus	0.0518
100	Walferdange	0.0368
101	Weiler-la-Tour	0.0277
102	Weiswampach	0.0632
103	Wiltz	0.0452
104	Wincrange	0.0476
105	Winseler	0.0406
106	Wormeldange	0.0255
